user_session,product_id,group_type_formal,first_cart_time_formal,group_type_legacy,first_cart_time_legacy,_merge
,5822759,,,B,2019-12-13 20:31:11+00:00,right_only
,5823646,,,B,2019-12-06 20:15:55+00:00,right_only
,5823666,,,B,2019-12-25 21:44:50+00:00,right_only
,5823667,,,B,2019-12-26 09:49:50+00:00,right_only
,5823769,,,B,2019-12-06 05:14:59+00:00,right_only
,5823778,,,B,2019-12-06 05:14:29+00:00,right_only
,5823779,,,B,2019-12-06 05:14:31+00:00,right_only
,5824189,,,B,2019-12-29 19:11:45+00:00,right_only
,5824227,,,B,2019-12-14 14:12:56+00:00,right_only
,5825261,,,B,2019-12-18 13:18:28+00:00,right_only
,5826599,,,B,2019-12-06 18:12:07+00:00,right_only
,5830273,,,B,2019-12-08 20:44:20+00:00,right_only
,5830274,,,B,2019-12-08 20:44:25+00:00,right_only
,5830275,,,B,2019-12-08 20:44:32+00:00,right_only
,5830276,,,B,2019-12-08 20:44:27+00:00,right_only
,5831501,,,B,2019-12-02 09:27:06+00:00,right_only
,5831577,,,B,2019-12-23 22:54:37+00:00,right_only
,5831578,,,B,2019-12-23 22:54:39+00:00,right_only
,5831579,,,B,2019-12-22 10:31:45+00:00,right_only
,5831590,,,B,2019-12-22 10:31:32+00:00,right_only
,5831649,,,B,2019-12-23 14:12:31+00:00,right_only
,5833318,,,B,2019-12-10 17:02:48+00:00,right_only
,5833326,,,B,2019-12-12 15:38:57+00:00,right_only
,5833329,,,B,2019-12-18 16:23:04+00:00,right_only
,5833330,,,B,2019-12-12 07:31:48+00:00,right_only
,5834159,,,B,2019-12-01 18:56:02+00:00,right_only
,5835260,,,B,2019-12-23 22:54:22+00:00,right_only
,5835856,,,B,2019-12-10 12:07:45+00:00,right_only
,5836316,,,B,2019-12-29 08:41:04+00:00,right_only
,5836486,,,B,2019-12-11 14:45:37+00:00,right_only
,5836487,,,B,2019-12-11 14:45:39+00:00,right_only
,5836488,,,B,2019-12-11 14:45:24+00:00,right_only
,5836489,,,B,2019-12-11 14:45:27+00:00,right_only
,5836514,,,B,2019-12-03 23:02:21+00:00,right_only
,5836522,,,B,2019-12-18 14:23:45+00:00,right_only
,5836523,,,B,2019-12-29 17:46:36+00:00,right_only
,5836837,,,B,2019-12-08 03:55:22+00:00,right_only
,5837228,,,B,2019-12-06 08:18:22+00:00,right_only
,5838055,,,B,2019-12-22 10:32:41+00:00,right_only
,5839692,,,B,2019-12-14 09:43:47+00:00,right_only
,5839700,,,B,2019-12-14 09:43:42+00:00,right_only
,5841729,,,B,2019-12-21 21:21:56+00:00,right_only
,5841834,,,B,2019-12-22 10:31:22+00:00,right_only
,5843281,,,B,2019-12-06 13:28:44+00:00,right_only
,5843779,,,B,2019-12-22 20:08:56+00:00,right_only
,5843782,,,B,2019-12-22 20:08:49+00:00,right_only
,5843786,,,B,2019-12-22 20:09:04+00:00,right_only
,5844894,,,B,2019-12-16 09:26:35+00:00,right_only
